sport,entity,label_pattern,provider_priority,confidence,owner,last_reviewed,notes
nba,teams,*,espn>nbastats,medium,data-platform,2025-07-15,ESPN is primary team source with richer metadata
nba,teams,color,espn>nbastats,high,data-platform,2025-07-15,ESPN has accurate team colours
nba,teams,alternate_color,espn>nbastats,high,data-platform,2025-07-15,ESPN has accurate alternate colours
nba,teams,logo_url,espn>nbastats,high,data-platform,2025-07-15,ESPN logos are higher resolution
nba,teams,abbreviation,espn>nbastats,high,data-platform,2025-07-15,ESPN abbreviations are industry standard
nba,teams,conference,espn>nbastats,high,data-platform,2025-07-15,ESPN conference assignments are authoritative
nba,teams,division,espn>nbastats,high,data-platform,2025-07-15,ESPN division assignments are authoritative
nba,players,*,espn>nbastats,medium,data-platform,2025-07-15,ESPN is primary player source
nba,players,draft_*,nbastats>espn,high,data-platform,2025-07-15,NBA Stats has richer draft data
nba,players,country,nbastats>espn,medium,data-platform,2025-07-15,NBA Stats has more complete international player data
nba,players,college,espn>nbastats,medium,data-platform,2025-07-15,ESPN has more complete college attribution
nba,players,headshot_url,espn>nbastats,high,data-platform,2025-07-15,ESPN headshots are higher resolution
nba,players,height,espn>nbastats,high,data-platform,2025-07-15,ESPN height data is well-formatted
nba,players,weight,espn>nbastats,high,data-platform,2025-07-15,ESPN weight data is well-formatted
nba,players,status,espn>nbastats,high,data-platform,2025-07-15,ESPN has real-time roster status updates
nba,players,debut_year,nbastats>espn,high,data-platform,2025-07-15,NBA Stats is authoritative for debut year
nba,games,*,espn>nbastats,medium,data-platform,2025-07-15,ESPN is primary game source
nba,games,status,espn>nbastats>oddsapi,high,data-platform,2025-07-15,ESPN has real-time game status
nba,games,attendance,espn>nbastats,medium,data-platform,2025-07-15,ESPN reports attendance data
nba,games,arena_*,espn>nbastats,high,data-platform,2025-07-15,ESPN has accurate arena metadata
nba,games,tv_network,espn,high,data-platform,2025-07-15,ESPN is sole broadcast data source
nba,games,duration_minutes,nbastats>espn,medium,data-platform,2025-07-15,NBA Stats tracks precise game duration
nba,games,home_score_q*,nbastats>espn,high,data-platform,2025-07-15,NBA Stats has authoritative quarter scores
